genre_name,playlist_name,spotify_id
uk dance,Uk Dance Top 10,5kSUdBGR4mde8sByWboK0z
conscious hip hop,Conscious Hip-Hop,13lAvSxOw1uCX9wqeVFykE
rap metal,RAP METAL,6CTIvv7IVwwUE781bmb6mf
new wave,new wave ★☆★☆,6zc3IrllWGx4ZWJ0MmWPC6
house,Housewerk,37i9dQZF1DXa8NOEUWPn9W
indonesian pop,Top Male Artists of 2019 Indonesia,37i9dQZF1DXbc4fNXqfjT8
modern alternative rock,ALT NOW,37i9dQZF1DWVqJMsgEN0F4
toronto rap,Northern Bars,37i9dQZF1DX59ogDi1Z2XL
folk rock,Folk Rock Favorites,37i9dQZF1DXat5j4Lk8UEj
indie rock,indie rock,0qYAqOsMGJPntjVEKV5WOF
trap argentino,TRAP ARGENTINO🇦🇷,1797AMCWj5ITnfdPJoaIX6
new romantic,new romantics vibes?,21bdfypNu1Ygw9nOmleHIF
metal,Metal🤘🏻,3amsAAZS7PfJyenaj92MrY
bedroom pop,Bedroom Pop,37i9dQZF1DXcxvFzl58uP7
east coast hip hop,East Coast Hip Hop,2uoCPhbyzjpEegs1oFAGSC
indie pop,Lorem,37i9dQZF1DXdwmD5Q7Gxah
italian hip hop,Italian hip hop 🇮🇹,13TdcMsgYtcNs2hXsSq4Qy
afrobeats,AFROBEATS 2023🌴🔥,4HXMPRVKOAfzoUwws8fqHW
post-teen pop,post-teen pop,3OjqbDHtcSlUKvBMHEDUfd
west coast rap,West Coast Rap 💯 ,7DLMINZsiKZmEQDiOUDa2T
turkish pop,Turkish Pop 2023,49zj2KBAKg5jj9AfLzx9Iy
slap house,Slap House 2023,3M2kdDYpU39aJ2RVivaHaH
miami hip hop,B.A.E.,37i9dQZF1DWX3387IZmjNa
boy band,Boy Bands & Pop 90s 00s,6S2ySWhpD2Oah3etWAjAd9
spanish pop,snoop dogg to spanish music pipeline,1QMRFMtkoru0nK1qmBEN5Z
cloud rap,hip-hop ,1Qs830fNxD8Vb6110TCDSv
trap brasileiro,Trap Brasileiro,6NHeKMwPkRJjxqlGBHW1pz
glam metal,Glam Metal 🧑🏻‍🎤,6XrK1egRFz1hgXSO0X08QV
punjabi pop,Punjabi Pop,37i9dQZF1DWWwF1YkSKLlU
modern country pop,The Sound of Modern Country Pop, 1AmdZJ5lBBbe6SX1MyAst9
neo soul,I Love My Neo-Soul,37i9dQZF1DX8MbMfAHb8U0
hoerspiel,hoerspiele,0gvH2Pwpt6PT7nctpqBVSV
stomp and holler,Stomp & Holler,37i9dQZF1DX8gLrc0tlHvS
progressive house,Melodic & Euphoric,37i9dQZF1DWTiVLKoHQ1yC
glam rock,Glam Rock,37i9dQZF1DX2P3HpcdjOk2
progressive electro house,Progressive House 2023,5CMvAWTlDPdZnkleiTHyyo
puerto rican pop,La Lista Pop,37i9dQZF1DWSpF87bP6JSF
country rock,Country Rocks,37i9dQZF1DWWH0izG4erma
viral pop,Viral Hits,37i9dQZF1DX2L0iB23Enbq
rage rap,RAGE RAP 🔥🔥,0ocfSVp2BADOD2mYxrcIDF
underground hip hop,I Love My Underground Classics,37i9dQZF1DXdUAMxTn0rVu
piano rock,Piano Rock Classics,5Z19xD4srBydglaXp5sAqb
talent show,potential talent show songs,4Dwy4yXRpPgtQdRNhbbyXN
synthpop,Synthpop Classics ,37i9dQZF1DWU1f2CQHNexG
nigerian pop,Hot Hits Naija ,37i9dQZF1DWZCOSaet9tpB
dark trap,DARK TRAP,2PSYV2fV0uS5l154dNVD47
punk,Punk Essentials,37i9dQZF1DXd6tJtr4qeot
swedish pop,Dance Pop Hits,37i9dQZF1DWZQaaqNMbbXa
rap francais,RAP FRANÇAIS,4pdHmxMorQAtJzYJt1mzpT
desi hip hop,Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ
argentine rock,Iconos del Rock Argentino,37i9dQZF1DWZU5DGR2xCSH
tropical,Tropical House,37i9dQZF1DX0AMssoUKCz7
psychedelic rock,Psychedelic Rock,37i9dQZF1DWSDoVybeQisg
ccm,CCM 23,2HsJskXjNHF2GBDgsR4WsL
big room,Big Room Dance,37i9dQZF1DX3d2wagqzwmM
grupera,GRUPERAS MIX PERRONAS ,0thN2lhjss11fPMoWrFB06
garage rock,UK Garage Classics,37i9dQZF1DX0RJRF55W5lt
tropical house,Tropical House,37i9dQZF1DX0AMssoUKCz7
opm,opm,1sK9Q79l6p0DitRY49ZSgk
italian adult pop,Il meglio del tuo decennio,37i9dQZF1DXe8tJ08Og8uF
detroit hip hop,NYvsNY,37i9dQZF1DWWjwbwZzTyfD
hip pop,Hip-Hop Classics Party,37i9dQZF1DXbkfWVLd8wE3
art rock,Art Rock,2LV7KfJgKpCRmBN12hxo9e
german pop,German Pop,25ziWpv0zBpQ2N0OdvHYHE
modern country rock,Country Rocks,37i9dQZF1DWWH0izG4erma
sped up,sped up türkçe,0oFKYfqQM9DvmClj00iDBM
metropopolis,metropolis,37i9dQZF1DX8CopunbDxgW
argentine hip hop,The Sound of Argentine Hip Hop,6tT2e2rcnpUrywDkmgSASj
europop,Shoegaze & Dreampop en español,37i9dQZF1DX7QM9rGRCxSN
